YEAR; Days    ; E_Leaf     ; g_s        ; P_Leaf_sym ; PLC_Leaf   ; PLC_Branch ; A_net[0]   ; RWC_soil   ; P_soil     ; 
2000; 1.00379; 6.90794492e-02; 0.00000000e+00; -4.45095252e-02; 1.91717384e-03; 1.91781331e-03; -1.61799802e-06; 9.92033568e-01; -3.30000000e-02; 
2000; 1.00382; 6.90794492e-02; 0.00000000e+00; -4.48065151e-02; 1.91717384e-03; 1.91781331e-03; -1.61799802e-06; 9.92033568e-01; -3.30000000e-02; 
2000; 1.00385; 6.90794492e-02; 0.00000000e+00; -4.51011674e-02; 1.91717384e-03; 1.91781331e-03; -1.61799802e-06; 9.92033568e-01; -3.30000000e-02; 
2000; 1.00388; 6.90794492e-02; 0.00000000e+00; -4.53935021e-02; 1.91717384e-03; 1.91781331e-03; -1.61799802e-06; 9.92033568e-01; -3.30000000e-02; 
2000; 1.00391; 6.90794492e-02; 0.00000000e+00; -4.56835389e-02; 1.91717384e-03; 1.91781331e-03; -1.61799802e-06; 9.92033568e-01; -3.30000000e-02; 
2000; 1.00394; 6.90794492e-02; 0.00000000e+00; -4.59712974e-02; 1.91717384e-03; 1.91781331e-03; -1.61799802e-06; 9.92033568e-01; -3.30000000e-02; 
2000; 1.00397; 6.90794492e-02; 0.00000000e+00; -4.62567968e-02; 1.91717384e-03; 1.91781331e-03; -1.61799802e-06; 9.92033568e-01; -3.30000000e-02; 
2000; 1.00400; 6.90794492e-02; 0.00000000e+00; -4.65400563e-02; 1.91717384e-03; 1.91781331e-03; -1.61799802e-06; 9.92033568e-01; -3.30000000e-02; 
2000; 1.00403; 6.90794492e-02; 0.00000000e+00; -4.68210949e-02; 1.91717384e-03; 1.91781331e-03; -1.61799802e-06; 9.92033568e-01; -3.30000000e-02; 
2000; 1.00405; 6.90794492e-02; 0.00000000e+00; -4.70999314e-02; 1.91717384e-03; 1.91781331e-03; -1.61799802e-06; 9.92033568e-01; -3.30000000e-02; 
